scope,condition,year,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
scoreable_pool,entry_within_50bps,2023,2420,3348.3305785123966,100.0,0.42768595041322316,0.05578512396694215,0.012773110073355909,0.05578512396694215,4.3673877111031265,68.82902768488997,0.038396358419256794,6.942944780384877,28.297674086598416,21.35472930621354,28.293983918192577,21.351039137807703,21.351270050022617,-0.003690168405835692
scoreable_pool,entry_within_100bps,2023,2420,3348.3305785123966,100.0,0.8586776859504133,0.18223140495867768,0.025644949499935826,0.1822314049586777,7.105937368257782,71.7124816742725,0.13068266288576108,6.942944780384877,28.297674086598416,21.35472930621354,28.221924510200054,21.278979729815184,21.282108714396788,-0.07574957639835489
scoreable_pool,entry_within_200bps,2023,2420,3348.3305785123966,100.0,2.1913223140495868,0.6681818181818182,0.06544522001836366,0.6681818181818182,10.20978794164538,48.21902205838819,0.3221907382992302,6.942944780384877,28.297674086598416,21.35472930621354,28.23315703604819,21.290212255663313,21.282033360307828,-0.06451705055022572
scoreable_pool,daily_closes_up_limit,2023,2420,3348.3305785123966,100.0,16.222727272727273,4.013636363636364,0.4845019597776615,4.013636363636364,8.284045673371944,840.7004711579805,33.74265981965895,6.942944780384877,28.297674086598416,21.35472930621354,-4.030279862147245,-10.97322464253212,-6.37773414795305,-32.32795394874566
scoreable_pool,daily_up_limit_not_current_within_100bps,2023,2420,3348.3305785123966,100.0,15.664876033057851,3.9190082644628097,0.4678413814211103,3.91900826446281,8.37678841610477,854.5934590156678,33.49158828638262,6.942944780384877,28.297674086598416,21.35472930621354,-3.7913543288972895,-10.734299109282164,-6.181154475507206,-32.089028415495704
published_top100,decision_no_offer,2024,2420,3413.82520661157,100.0,0.09256198347107437,0.0,0.002711386139273012,0.0,0.0,,0.0,8.6947787378456,23.143212094325836,14.448433356480232,23.143212094325836,14.448433356480232,14.448975870967535,0.0
published_top100,decision_at_limit,2024,2420,3413.82520661157,100.0,0.28966942148760333,0.001652892561983471,0.008485186087635632,0.001652892561983471,0.19479744402919089,-285.103487338256,-0.0047124543361695215,8.6947787378456,23.143212094325836,14.448433356480232,23.14398948749123,14.449210749645628,14.454390156020763,0.0007773931653964894
published_top100,decision_at_limit_with_offer,2024,2420,3413.82520661157,100.0,0.1987603305785124,0.001652892561983471,0.005822217557992494,0.001652892561983471,0.28389398807580624,-285.103487338256,-0.0047124543361695215,8.6947787378456,23.143212094325836,14.448433356480232,23.14398948749123,14.449210749645628,14.454130737937062,0.0007773931653964894
published_top100,decision_sealed_at_limit,2024,2420,3413.82520661157,100.0,0.09090909090909091,0.0,0.002662968529643137,0.0,0.0,,0.0,8.6947787378456,23.143212094325836,14.448433356480232,23.143212094325836,14.448433356480232,14.448652941224251,0.0
published_top100,touched_limit_by_decision,2024,2420,3413.82520661157,100.0,9.340495867768595,0.7206611570247934,0.2736079120184248,0.7206611570247934,2.6339192887677307,-160.47467104653094,-1.1564786210956608,8.6947787378456,23.143212094325836,14.448433356480232,23.125399499461828,14.430620761616225,14.751344793775724,-0.017812594864006215
published_top100,touched_limit_but_opened,2024,2420,3413.82520661157,100.0,9.050826446280992,0.71900826446281,0.26512272593078917,0.71900826446281,2.71198276925724,-160.18816802057293,-1.1517661667594914,8.6947787378456,23.143212094325836,14.448433356480232,23.124077366368066,14.429298628522462,14.727130705825584,-0.019134727957769826
published_top100,decision_within_10bps,2024,2420,3413.82520661157,100.0,0.6157024793388429,0.00371900826446281,0.018035559587128516,0.00371900826446281,0.206204207110766,-103.05227060076638,-0.00383252246035908,8.6947787378456,23.143212094325836,14.448433356480232,23.14082764921701,14.446048911371399,14.474299148090328,-0.0023844451088326224
