Exit code: 0
Wall time: 0 seconds
Output:
policy,pool,unit,omitted_period,omitted_period_net_bps,remaining_cumulative_net_bps
capacity_only,pool_L,quarter,2023Q3,-368.4352783762032,9586.301793406827
capacity_only,pool_L,quarter,2023Q4,216.6352246327862,9001.231290397838
capacity_only,pool_L,quarter,2024Q1,480.37621811187694,8737.490296918748
capacity_only,pool_L,quarter,2024Q2,-675.8430276493681,9893.709542679992
capacity_only,pool_L,quarter,2024Q3,1877.546403853105,7340.32011117752
capacity_only,pool_L,quarter,2024Q4,153.0666080168742,9064.79990701375
capacity_only,pool_L,quarter,2025Q1,1326.7647960315521,7891.101718999073
capacity_only,pool_L,quarter,2025Q2,916.0857951040393,8301.780719926584
capacity_only,pool_L,quarter,2025Q3,1895.5438899428968,7322.322625087727
capacity_only,pool_L,quarter,2025Q4,574.8620217461049,8643.00449328452
realistic_no_refill,pool_L,quarter,2022Q1,-237.22860012278932,7670.614646760716
realistic_no_refill,pool_L,quarter,2022Q2,871.8311855516096,6561.554861086317
realistic_no_refill,pool_L,quarter,2022Q3,-687.0483701426649,8120.434416780591
realistic_no_refill,pool_L,quarter,2022Q4,506.13089868596205,6927.255147951964
realistic_no_refill,pool_L,quarter,2023Q1,939.2486422820789,6494.137404355848
realistic_no_refill,pool_L,quarter,2023Q2,804.4469169498158,6628.93912968811
realistic_no_refill,pool_L,quarter,2023Q3,-232.80441684164168,7666.190463479568
realistic_no_refill,pool_L,quarter,2023Q4,159.8244138174645,7273.561632820462
realistic_no_refill,pool_L,quarter,2024Q1,284.04918364163217,7149.336862996294
realistic_no_refill,pool_L,quarter,2024Q2,-523.9052468869884,7957.291293524915
realistic_no_refill,pool_L,quarter,2024Q3,1560.9711924944954,5872.4148541434315
realistic_no_refill,pool_L,quarter,2024Q4,152.8822583763598,7280.503788261567
realistic_no_refill,pool_L,quarter,2025Q1,1078.00810710242,6355.377939535507
realistic_no_refill,pool_L,quarter,2025Q2,702.4967714836075,6730.889275154319
realistic_no_refill,pool_L,quarter,2025Q3,1596.7142894478068,5836.67175719012
realistic_no_refill,pool_L,quarter,2025Q4,457.76882079875867,6975.617225839168
visible_pretrade_refill,pool_L,quarter,2022Q1,-387.6841126892613,8986.394135898398
visible_pretrade_refill,pool_L,quarter,2022Q2,1045.5247639174931,7553.185259291643
visible_pretrade_refill,pool_L,quarter,2022Q3,-885.9984201632493,9484.708443372385
visible_pretrade_refill,pool_L,quarter,2022Q4,646.459432103471,7952.250591105665
visible_pretrade_refill,pool_L,quarter,2023Q1,1071.5086722509118,7527.201350958225
visible_pretrade_refill,pool_L,quarter,2023Q2,871.972796306518,7726.737226902618
visible_pretrade_refill,pool_L,quarter,2023Q3,-320.93913959993984,8919.649162809075
visible_pretrade_refill,pool_L,quarter,2023Q4,175.6644814075217,8423.045541801614
visible_pretrade_refill,pool_L,quarter,2024Q1,480.47416765534825,8118.235855553788
visible_pretrade_refill,pool_L,quarter,2024Q2,-615.5151832812962,9214.225206490431
visible_pretrade_refill,pool_L,quarter,2024Q3,1903.8556107047482,6694.854412504388
visible_pretrade_refill,pool_L,quarter,2024Q4,93.98021499406701,8504.729808215068
visible_pretrade_refill,pool_L,quarter,2025Q1,1280.8244405938121,7317.885582615324
visible_pretrade_refill,pool_L,quarter,2025Q2,869.7781381864997,7728.931885022636
visible_pretrade_refill,pool_L,quarter,2025Q3,1863.399457031176,6735.31056617796
visible_pretrade_refill,pool_L,quarter,2025Q4,505.40470379131585,8093.30531941782
