case,window,horizon,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w1001_1010_h10m,10:01-10:10,10m,universe,2023,H2,6,15.226138,-33.35185095180829,0.1054244667127591,0.0024844758500521,6,0
w1001_1010_h10m,10:01-10:10,10m,universe,2024,H1,6,13.359261,-10.651905776442703,0.1172476495559444,0.0297977837252274,6,2
w1001_1010_h10m,10:01-10:10,10m,universe,2024,H2,6,12.358395,-33.88620604894684,0.1152387700703673,-0.0026780691367738,6,2
w1001_1010_h10m,10:01-10:10,10m,universe,2025,H1,6,13.380958,-21.651931548649085,0.1155164142274303,0.006879734510999,6,1
w1001_1010_h10m,10:01-10:10,10m,universe,2025,H2,6,10.16397,-16.723257616675046,0.0980449083459716,0.0073595117595141,6,3
w1001_1010_h10m,10:01-10:10,10m,pool_L,2022,H1,6,12.359214,23.33276285080683,0.1144651844854618,0.0190767968245297,6,5
w1001_1010_h10m,10:01-10:10,10m,pool_L,2022,H2,6,9.60215,4.898779294476377,0.1036371780713667,0.0063452267831465,6,4
w1001_1010_h10m,10:01-10:10,10m,pool_L,2023,H1,6,9.653934,23.61039216562216,0.1087680425869952,0.0173706237247587,6,5
w1001_1010_h10m,10:01-10:10,10m,pool_L,2023,H2,6,8.68192,-4.812424393764073,0.0933567599150272,-0.0019922738308834,6,2
w1001_1010_h10m,10:01-10:10,10m,pool_L,2024,H1,6,6.6431174,20.648967910457,0.1131593006484121,0.0268027880817574,6,4
w1001_1010_h10m,10:01-10:10,10m,pool_L,2024,H2,6,5.9864388,3.159363202804676,0.1115025541458522,-0.0063857603998727,6,3
w1001_1010_h10m,10:01-10:10,10m,pool_L,2025,H1,6,7.1296234,8.890914928675665,0.118584582995951,0.007335445004004,6,4
w1001_1010_h10m,10:01-10:10,10m,pool_L,2025,H2,6,6.3266373,9.911575931819252,0.0904562684736498,0.0028763477523019,6,4
w1001_1010_h1h,10:01-10:10,1h,universe,2022,H1,6,27.153404,-13.093341945054538,0.0552332650183546,0.0233915892835362,6,2
w1001_1010_h1h,10:01-10:10,1h,universe,2022,H2,6,12.774159,-22.754954169176845,0.0434659355641609,0.0108856497796329,6,2
w1001_1010_h1h,10:01-10:10,1h,universe,2023,H1,6,18.200697,0.8049465804323527,0.0430276225905749,0.0170508016194812,5,3
w1001_1010_h1h,10:01-10:10,1h,universe,2023,H2,6,12.283584,-37.95458871930069,0.0297915229379363,0.0039467893866238,6,0
w1001_1010_h1h,10:01-10:10,1h,universe,2024,H1,6,11.613304,-16.546690126636175,0.0545398139172067,0.0351582771474037,6,1
w1001_1010_h1h,10:01-10:10,1h,universe,2024,H2,6,17.237555,-33.31481463099319,0.0532281469709699,0.0098551428206134,6,1
w1001_1010_h1h,10:01-10:10,1h,universe,2025,H1,6,13.957311,-31.939070377819395,0.0401130978695552,0.0121342033994454,6,1
w1001_1010_h1h,10:01-10:10,1h,universe,2025,H2,6,5.8554015,-16.284619434560135,0.0294886990238104,-9.787081838736796e-05,5,3
w1001_1010_h1h,10:01-10:10,1h,pool_L,2022,H1,6,14.430507,23.51761022561531,0.0515024182439322,0.0196967005478735,6,5
