case,window,label,pool,test_month,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic
w0931_0940_hclose,09:31-09:40,close,pool_L,2025Q4,600,3,3475.218333333333,100.0,5.1593113,25.820051,20.66074,16.80346938729043,39.07671504622128,22.273245658930847,0.024495308881437,0.0188461773565168
w1001_1010_h1m,10:01-10:10,1m,universe,2022Q1,580,3,4495.994827586207,100.0,-9.055805,10.104374,19.16018,-46.35703223815881,-50.49590830860242,-4.138876070443613,0.2505079523158414,-0.0066883055864569
w1001_1010_h1m,10:01-10:10,1m,universe,2022Q2,590,3,4539.974576271186,100.0,-8.400373,9.859856,18.26023,3.859594914257437,-21.7139488218804,-25.57354373613784,0.2628150417286328,0.0311232764241573
w1001_1010_h1m,10:01-10:10,1m,universe,2022Q3,650,3,4642.57076923077,100.0,-8.869866,7.23332,16.103186,-41.1394046022093,-63.51350384977477,-22.374099247565475,0.2624423133316891,-0.0100291918810989
w1001_1010_h1m,10:01-10:10,1m,universe,2022Q4,600,3,4719.8133333333335,100.0,-8.26135,6.9165463,15.177896,21.169140086812988,2.877903209422593,-18.291236877390396,0.2547992231770743,0.010864291235316
w1001_1010_h1m,10:01-10:10,1m,universe,2023Q1,590,3,4808.186440677966,100.0,-8.290562,4.9259806,13.216543,9.247110142330005,12.826255480843807,3.579145338513807,0.2849026350177551,0.0157378522724488
w1001_1010_h1m,10:01-10:10,1m,universe,2023Q2,590,3,4845.925423728813,100.0,-7.853936,7.5169187,15.370855,-6.796422578448437,-4.377428518460194,2.418994059988243,0.2464188228184516,0.0137553351495293
w1001_1010_h1m,10:01-10:10,1m,universe,2023Q3,640,3,4928.7671875,100.0,-5.7988143,8.126968,13.925783,-19.59878329508766,-45.28343566748794,-25.684652372400286,0.2515609153465123,-0.0095508612201755
w1001_1010_h1m,10:01-10:10,1m,universe,2023Q4,600,3,4988.198333333334,100.0,-6.8388324,6.78589,13.624722,-0.0711164177062476,-33.78867669555937,-33.717560277853124,0.2663731866323742,0.0061274069260866
w1001_1010_h1m,10:01-10:10,1m,universe,2024Q1,580,3,5013.903448275863,100.0,-10.656275,6.0220222,16.678297,-20.785358148864663,-31.02677130026721,-10.241413151402549,0.2598669437026206,0.00738793064895
w1001_1010_h1m,10:01-10:10,1m,universe,2024Q2,590,3,4988.33220338983,100.0,-9.793442,6.6499977,16.443441,-41.6784058352839,-60.94865677786871,-19.270250942584813,0.2865346884819622,0.0379782018027144
w1001_1010_h1m,10:01-10:10,1m,universe,2024Q3,640,3,4935.4953125,100.0,-8.624766,5.2713227,13.89609,59.056536686311134,46.31382024620952,-12.742716440101612,0.300157097576322,-0.0022037200204699
w1001_1010_h1m,10:01-10:10,1m,universe,2024Q4,610,3,4998.622950819672,100.0,-7.2627587,12.629795,19.892553,-13.463890426920434,-63.596429722602885,-50.13253929568245,0.2344323059872671,-0.0008201156201719
w1001_1010_h1m,10:01-10:10,1m,universe,2025Q1,570,3,5022.070175438596,100.0,-7.43838,6.8697085,14.308088,13.678817019582649,-22.59490074450116,-36.273717764083806,0.2650963045539859,0.0211889809685881
w1001_1010_h1m,10:01-10:10,1m,universe,2025Q2,600,3,5037.346666666666,100.0,-6.4837594,5.8505483,12.334308,9.537784957946114,-11.690102720461116,-21.22788767840723,0.2767260231617223,-0.0051049600270138
w1001_1010_h1m,10:01-10:10,1m,universe,2025Q3,660,3,5079.184848484849,100.0,-6.549744,5.056483,11.606226,31.5442149041034,11.928058348359505,-19.6161565557439,0.2530051922784762,0.0262104743823106
w1001_1010_h1m,10:01-10:10,1m,universe,2025Q4,600,3,5084.258333333333,100.0,-5.710026,3.5951636,9.305189,8.796365841141991,0.4991727229435037,-8.297193118198487,0.232972151522363,-0.001297718635811
w1001_1010_h1m,10:01-10:10,1m,pool_L,2022Q1,580,3,3036.603448275862,100.0,-8.722869,1.6289188,10.3517885,-37.721334449474384,-20.56370334481424,17.157631104660148,0.2302741768808253,-0.0103545414473463
w1001_1010_h1m,10:01-10:10,1m,pool_L,2022Q2,590,3,3078.1220338983053,100.0,-7.9391103,3.1862364,11.125347,17.464145199906255,29.11672626034502,11.652581060438765,0.246258870527113,0.0282104827769627
w1001_1010_h1m,10:01-10:10,1m,pool_L,2022Q3,650,3,3159.84,100.0,-8.51373,1.4827924,9.996522,-34.17390946415833,-38.040342785697895,-3.866433321539563,0.2424351819066496,-0.0118767849987903
w1001_1010_h1m,10:01-10:10,1m,pool_L,2022Q4,600,3,3222.93,100.0,-7.8679566,1.0001913,8.868149,29.694518510259623,29.96721887553815,0.2727003652785342,0.2325102339084274,0.0074955582127476
w1001_1010_h1m,10:01-10:10,1m,pool_L,2023Q1,590,3,3287.5508474576272,100.0,-8.109892,0.27634245,8.386234,15.04753451758475,29.890539593046068,14.843005075461312,0.2691416912954218,0.0120712824036899
w1001_1010_h1m,10:01-10:10,1m,pool_L,2023Q2,590,3,3314.681355932204,100.0,-7.630514,1.5636164,9.194131,1.6247966319924525,24.721854261615352,23.0970576296229,0.2310656762420777,0.0105995585753919
w1001_1010_h1m,10:01-10:10,1m,pool_L,2023Q3,640,3,3384.7109375,100.0,-5.4679027,1.6772192,7.1451216,-13.252274535012264,-18.758436057408964,-5.506161522396697,0.2328044006323224,-0.0139382920392554
w1001_1010_h1m,10:01-10:10,1m,pool_L,2023Q4,600,3,3432.451666666667,100.0,-6.432473,0.82656467,7.259038,5.602254956995036,0.687883240351153,-4.914371716643883,0.2470632367510972,-0.0020705175780079
w1001_1010_h1m,10:01-10:10,1m,pool_L,2024Q1,580,3,3451.1,100.0,-10.6390915,-1.0446862,9.594405,-6.042278932219006,20.72203175610036,26.76431068831936,0.247526902991784,0.0036341944620502
w1001_1010_h1m,10:01-10:10,1m,pool_L,2024Q2,590,3,3415.58813559322,100.0,-9.944574,-0.6283438,9.31623,-32.53957073850714,-19.0950918612394,13.444478877267736,0.2830240343831774,0.0397790507931412
w1001_1010_h1m,10:01-10:10,1m,pool_L,2024Q3,640,3,3389.425,100.0,-8.2787,-0.11220831,8.1664915,67.01791067339045,73.76245959694633,6.7445489235558895,0.2907147536523569,-0.0106062347253826
w1001_1010_h1m,10:01-10:10,1m,pool_L,2024Q4,610,3,3434.8639344262297,100.0,-7.1944146,1.9310311,9.125446,-0.4914237759352612,-7.361553376929294,-6.870129600994034,0.2237930260962604,-0.0048755627301589
w1001_1010_h1m,10:01-10:10,1m,pool_L,2025Q1,570,3,3441.857894736842,100.0,-7.4497466,0.53005457,7.9798007,24.206502749726127,30.86913560557025,6.662632855844122,0.2645630813442681,0.0164265590483149
w1001_1010_h1m,10:01-10:10,1m,pool_L,2025Q2,600,3,3432.1566666666668,100.0,-6.4328365,0.8164129,7.2492495,16.50258207538111,14.786871039792656,-1.7157110355884546,0.2845617118338944,-0.0074036597292435
w1001_1010_h1m,10:01-10:10,1m,pool_L,2025Q3,660,3,3449.2818181818184,100.0,-6.3403373,0.7946646,7.135002,41.022072273485264,56.54465984167735,15.522587568192083,0.2423869832125552,0.0214956849403202
w1001_1010_h1m,10:01-10:10,1m,pool_L,2025Q4,600,3,3454.9,100.0,-5.3723674,-0.16278552,5.209582,15.0028324555863,24.022926863559803,9.020094407973502,0.2251757555034935,-0.0100111090645006
w1001_1010_h3m,10:01-10:10,3m,universe,2022Q1,580,3,4489.174137931034,100.0,-9.641389,9.974246,19.615635,-46.35301837554526,-41.17294177733726,5.180076598207995,0.1859381249123561,-0.0001320623502196
w1001_1010_h3m,10:01-10:10,3m,universe,2022Q2,590,3,4532.066101694915,100.0,-7.5800548,10.607592,18.187645,3.85789159538948,-8.450354003189046,-12.308245598578528,0.1965238920430339,0.034486369180507
w1001_1010_h3m,10:01-10:10,3m,universe,2022Q3,650,3,4635.563076923077,100.0,-9.935286,6.9852266,16.920513,-41.16556375290671,-59.92782193937444,-18.762258186467736,0.192312048614109,-0.0108802699174851
w1001_1010_h3m,10:01-10:10,3m,universe,2022Q4,600,3,4714.37,100.0,-8.406789,6.931551,15.33834,21.16301118946943,8.914170337139822,-12.248840852329607,0.1813136031929201,0.0115020308301275
w1001_1010_h3m,10:01-10:10,3m,universe,2023Q1,590,3,4803.440677966101,100.0,-8.714631,4.3039117,13.018543,9.25244423802967,14.367093370349792,5.114649132320123,0.2059994383777948,0.0185607784398977
w1001_1010_h3m,10:01-10:10,3m,universe,2023Q2,590,3,4839.4762711864405,100.0,-7.350551,7.90036,15.250911,-6.786380644793233,2.558161682803868,9.3445423275971,0.1728562642283605,0.0192051459012903
w1001_1010_h3m,10:01-10:10,3m,universe,2023Q3,640,3,4922.5328125,100.0,-4.439539,9.206093,13.645632,-19.61090664023534,-42.98937573091369,-23.37846909067836,0.182015479485196,-0.0053638078488608
w1001_1010_h3m,10:01-10:10,3m,universe,2023Q4,600,3,4983.865,100.0,-6.8662777,7.379087,14.245364,-0.0878242390760123,-29.298808395472047,-29.21098415639604,0.1977144627230506,0.0098794612135997
w1001_1010_h3m,10:01-10:10,3m,universe,2024Q1,580,3,5010.456896551724,100.0,-12.638833,3.0595357,15.698368,-20.774143879901057,-17.317929989169777,3.4562138907312816,0.1867206964169777,0.0092172364853823
w1001_1010_h3m,10:01-10:10,3m,universe,2024Q2,590,3,4982.474576271186,100.0,-10.329618,5.011853,15.341471,-41.66586199843975,-57.437462442141126,-15.771600443701372,0.2111233178698918,0.0428525314787704
w1001_1010_h3m,10:01-10:10,3m,universe,2024Q3,640,3,4927.8390625,100.0,-7.3668,6.731243,14.098043,59.0377957702036,49.11297487551796,-9.924820894685642,0.2202767814892569,-0.0015640192798319
w1001_1010_h3m,10:01-10:10,3m,universe,2024Q4,610,3,4996.708196721312,100.0,-7.0743117,11.383047,18.457357,-13.460678503805008,-59.28844779134976,-45.82776928754476,0.1652278467203279,0.0042778758440404
w1001_1010_h3m,10:01-10:10,3m,universe,2025Q1,570,3,5018.936842105263,100.0,-6.87082,6.7772827,13.648104,13.689586396554128,-23.213468137223675,-36.9030545337778,0.1900866574402193,0.0185517349883804
w1001_1010_h3m,10:01-10:10,3m,universe,2025Q2,600,3,5033.856666666667,100.0,-5.865085,6.863008,12.728093,9.540570018594062,-6.134516265625016,-15.67508628421908,0.2008911991903338,-0.0052445151331623
w1001_1010_h3m,10:01-10:10,3m,universe,2025Q3,660,3,5077.401515151515,100.0,-6.4785776,5.2324557,11.711034,31.556381817789603,14.657309675659954,-16.899072142129654,0.1788766849828298,0.021488065634829
w1001_1010_h3m,10:01-10:10,3m,universe,2025Q4,600,3,5081.666666666667,100.0,-5.303076,4.7027407,10.005816,8.792192139396056,0.6396496931644348,-8.152542446231621,0.1618049770221993,-0.0020899654651259
w1001_1010_h3m,10:01-10:10,3m,pool_L,2022Q1,580,3,3032.0482758620687,100.0,-9.376116,1.4940715,10.870187,-37.71725314036236,-15.661209517281604,22.05604362308076,0.1693487672782596,-0.0038629781986536
w1001_1010_h3m,10:01-10:10,3m,pool_L,2022Q2,590,3,3072.471186440678,100.0,-7.165974,4.7173595,11.883333,17.470727081435783,36.023697847905304,18.552970766469524,0.1837377287754989,0.0320708471463757
w1001_1010_h3m,10:01-10:10,3m,pool_L,2022Q3,650,3,3154.8584615384616,100.0,-9.676051,0.8931699,10.569221,-34.18822570246612,-36.04428147528007,-1.8560557728139468,0.1755261246492783,-0.0124662972981894
w1001_1010_h3m,10:01-10:10,3m,pool_L,2022Q4,600,3,3219.42,100.0,-8.0631695,0.81064105,8.873811,29.689052834380565,32.59099197707762,2.901939142697059,0.1619054981136484,0.0085798005992071
w1001_1010_h3m,10:01-10:10,3m,pool_L,2023Q1,590,3,3284.6169491525425,100.0,-8.498739,0.24918924,8.747929,15.059090889741409,28.593780222387423,13.534689332646016,0.1923426197531855,0.0136540187398598
w1001_1010_h3m,10:01-10:10,3m,pool_L,2023Q2,590,3,3310.850847457627,100.0,-7.1226416,2.0073097,9.129951,1.6328337566043092,26.75951045245957,25.12667669585526,0.1593677916518654,0.0144696972854763
w1001_1010_h3m,10:01-10:10,3m,pool_L,2023Q3,640,3,3381.109375,100.0,-4.089511,2.858815,6.948326,-13.247707877477607,-16.051364063266,-2.803656185788392,0.1665736219420215,-0.0100675851362253
w1001_1010_h3m,10:01-10:10,3m,pool_L,2023Q4,600,3,3430.016666666667,100.0,-6.5518885,1.4515641,8.003453,5.596716802829612,3.6172101179396994,-1.979506684889913,0.1827005040091564,0.0014795204350988
w1001_1010_h3m,10:01-10:10,3m,pool_L,2024Q1,580,3,3449.0103448275863,100.0,-12.830081,-3.8282778,9.001802,-6.035786605006668,23.352861333540503,29.38864793854717,0.1773310332323412,0.0027447187429024
w1001_1010_h3m,10:01-10:10,3m,pool_L,2024Q2,590,3,3411.962711864406,100.0,-10.70105,-2.2715905,8.42946,-32.5186027214167,-19.963399169048028,12.555203552368672,0.2084007320969158,0.0425777933837224
w1001_1010_h3m,10:01-10:10,3m,pool_L,2024Q3,640,3,3384.1625,100.0,-6.9685454,0.9794877,7.9480333,67.00188337074503,76.77616716020081,9.77428378945579,0.2117587987007113,-0.0100100042873274
w1001_1010_h3m,10:01-10:10,3m,pool_L,2024Q4,610,3,3433.588524590164,100.0,-7.088226,1.5500814,8.638307,-0.4858645148759818,-1.403834219422894,-0.9179697045469132,0.157286454200683,-0.0016432627147823
w1001_1010_h3m,10:01-10:10,3m,pool_L,2025Q1,570,3,3439.980701754386,100.0,-6.927256,0.5221556,7.4494114,24.205170163873916,31.139577306540733,6.934407142666818,0.1906414201346319,0.0163544539007069
w1001_1010_h3m,10:01-10:10,3m,pool_L,2025Q2,600,3,3430.1583333333333,100.0,-5.8765283,1.325811,7.2023387,16.51461029449015,21.16176935360147,4.647159059111322,0.2092234139340888,-0.0051832106509251
w1001_1010_h3m,10:01-10:10,3m,pool_L,2025Q3,660,3,3448.319696969697,100.0,-6.290136,1.0686,7.3587356,41.02489157241117,59.573495166469804,18.548603594058644,0.1690160316746362,0.0176574497747372
w1001_1010_h3m,10:01-10:10,3m,pool_L,2025Q4,600,3,3453.5016666666666,100.0,-4.9661727,0.9929172,5.9590898,14.993024933992784,25.178386431399947,10.185361497407165,0.1540708766716399,-0.0108838256493407
w1001_1010_h5m,10:01-10:10,5m,universe,2022Q1,580,3,4482.315517241379,100.0,-10.129864,10.345972,20.475836,-46.33197768196536,-40.221634519883,6.110343162082368,0.1585569649422835,0.0006151393887349
w1001_1010_h5m,10:01-10:10,5m,universe,2022Q2,590,3,4525.108474576271,100.0,-6.8065233,12.077238,18.88376,3.850288621989644,-9.02714161459436,-12.877430236584004,0.1666415436172922,0.0339491795839657
w1001_1010_h5m,10:01-10:10,5m,universe,2022Q3,650,3,4631.084615384615,100.0,-10.839505,6.032218,16.871723,-41.17608491425561,-54.72326173051433,-13.54717681625871,0.1646902694847705,-0.0025721633926869
w1001_1010_h5m,10:01-10:10,5m,universe,2022Q4,600,3,4709.493333333333,100.0,-8.0537195,7.456848,15.510568,21.153756947297577,12.867097074806988,-8.286659872490588,0.1501521898501678,0.0177002443163238
w1001_1010_h5m,10:01-10:10,5m,universe,2023Q1,590,3,4799.118644067797,100.0,-8.622706,4.496076,13.118783,9.26152199642564,13.80645865619032,4.544936659764683,0.1722798965567206,0.0178003422869939
